ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,fit_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,product,sensor_position,serial_number,software_version,source_file,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,HRV_STATUS,3289.0,,,garmin,,,,3394818363.0,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,2023-06-30 22:49:05,,68.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,2600.0,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,creator,,HRV_STATUS,3289.0,,,garmin,,,,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,local,,2023-06-30 13:39:00,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,1,10.0,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,local,,2023-06-30 13:39:00,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,1057066740.0,,,,,,1.0,,,,,
,,,,,,,,HRV_STATUS,,,2023-06-30 23:39:00,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,2023-06-30 13:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057066827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057067127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057067427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4736.0,,,,,,,,,,1057067727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057068027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057068327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057068627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057068927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057069227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057069527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057069827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057070127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057070427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,1057070727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057071027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5504.0,,,,,,,,,,1057071327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6144.0,,,,,,,,,,1057071627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6144.0,,,,,,,,,,1057071927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057072227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057072527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057072827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057073127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2688.0,,,,,,,,,,1057073427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057073727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2560.0,,,,,,,,,,1057074027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2560.0,,,,,,,,,,1057074327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2688.0,,,,,,,,,,1057074627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3072.0,,,,,,,,,,1057074927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3200.0,,,,,,,,,,1057075227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057075527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3584.0,,,,,,,,,,1057075827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057076127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057076427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057076727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5120.0,,,,,,,,,,1057077027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5248.0,,,,,,,,,,1057077327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5376.0,,,,,,,,,,1057077627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057077927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057078227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7808.0,,,,,,,,,,1057078527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057078827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057079127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057079427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3584.0,,,,,,,,,,1057079727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3584.0,,,,,,,,,,1057080027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057080327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3072.0,,,,,,,,,,1057080627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057080927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057081227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057081527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057081827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5760.0,,,,,,,,,,1057082127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057082427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5120.0,,,,,,,,,,1057082727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057083027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6656.0,,,,,,,,,,1057083327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4992.0,,,,,,,,,,1057083627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7424.0,,,,,,,,,,1057083927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7296.0,,,,,,,,,,1057084227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6912.0,,,,,,,,,,1057084527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057084827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057085127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057085427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057085727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6400.0,,,,,,,,,,1057086027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5376.0,,,,,,,,,,1057086327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057086627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4992.0,,,,,,,,,,1057086927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4992.0,,,,,,,,,,1057087227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057087527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5248.0,,,,,,,,,,1057087827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7296.0,,,,,,,,,,1057088127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6656.0,,,,,,,,,,1057088427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6528.0,,,,,,,,,,1057088727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7296.0,,,,,,,,,,1057089027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6272.0,,,,,,,,,,1057089327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6016.0,,,,,,,,,,1057089627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6400.0,,,,,,,,,,1057089927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6272.0,,,,,,,,,,1057090227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7936.0,,,,,,,,,,1057090527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5632.0,,,,,,,,,,1057090827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4736.0,,,,,,,,,,1057091127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4096.0,,,,,,,,,,1057091427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057091727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5888.0,,,,,,,,,,1057092027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057092327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5120.0,,,,,,,,,,1057092627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5632.0,,,,,,,,,,1057092927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057093227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057093527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057093827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4096.0,,,,,,,,,,1057094127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057094427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5376.0,,,,,,,,,,1057094727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6144.0,,,,,,,,,,1057095027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6656.0,,,,,,,,,,1057095327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4992.0,,,,,,,,,,1057095627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057095927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057096227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057096527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057096827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057097127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4992.0,,,,,,,,,,1057097427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5248.0,,,,,,,,,,1057097727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4736.0,,,,,,,,,,1057098027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057098327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6272.0,4864.0,,,,,,7936.0,,,1057099745.0,,5760.0,,,,6016.0,7168.0,4.0,32.0,23665.0,
,,,,,,,,HRV_STATUS,,,2023-07-01 08:25:27,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,2023-06-30 22:25:27,,,,,,,,,,,,,,,,,,,,,,,
