LogID,SessionID,MovementID,Sets_Prescribed,Reps_Prescribed,Load_Prescribed,Pct1RM_Prescribed,Sets_Actual,Reps_Actual,Load_Actual,RPE,Notes,Timestamp
LOG_20251003_145824_263357,10W_SQUAT-A-01,MOV_OHS,4,6,,65.0,4,6,25.0,6,,2025-10-03T14:58:24
LOG_20251003_145845_881852,10W_SQUAT-B-01,MOV_FS,3,2,,60.0,3,2,50.0,6,,2025-10-03T14:58:45
LOG_20251003_145900_101887,10W_SQUAT-C-01,MOV_OHS,3,2,,60.0,3,2,25.0,6,,2025-10-03T14:59:00
LOG_20251003_145911_186763,10W_SQUAT-D-01,MOV_FS,4,5,,65.0,4,5,55.0,6,,2025-10-03T14:59:11
LOG_20251003_150015_146932,10W_SQUAT-E-01,MOV_OHS,3,2,,60.0,3,2,25.0,6,,2025-10-03T15:00:15
LOG_20251003_153627_150363,OLY-BEG-A-A-01,MOV_HSNATCH,6,3,,,6,3,30.0,6,,2025-10-03T15:36:27
LOG_20251003_153627_229815,OLY-BEG-A-A-01,MOV_SN_DL_SEG,5,3,,,5,3,50.0,6,,2025-10-03T15:36:27
LOG_20251003_153627_120285,OLY-BEG-A-A-01,MOV_OHS,5,3,,,5,3,25.0,6,,2025-10-03T15:36:27
LOG_20251003_153627_295516,OLY-BEG-A-A-01,MOV_BS,4,8,,,4,8,0.0,6,,2025-10-03T15:36:27
LOG_20251003_153704_213153,OLY-BEG-A-B-01,MOV_PC_FS_COMPLEX,6,,,,6,3,40.0,6,,2025-10-03T15:37:04
LOG_20251003_153704_119867,OLY-BEG-A-B-01,MOV_CL_HPULL,5,5,,,5,5,40.0,6,,2025-10-03T15:37:04
LOG_20251003_153704_129477,OLY-BEG-A-B-01,MOV_PJERK,6,3,,,6,3,40.0,6,,2025-10-03T15:37:04
LOG_20251003_153704_311364,OLY-BEG-A-B-01,MOV_SHPRESS,5,6,,,5,6,40.0,6,,2025-10-03T15:37:04
LOG_20251003_153730_246177,OLY-BEG-A-C-01,MOV_HCLEAN_JERK_COMPLEX,6,,,,6,3,40.0,6,,2025-10-03T15:37:30
LOG_20251003_153730_320130,OLY-BEG-A-C-01,MOV_BS,5,5,,,5,5,0.0,6,,2025-10-03T15:37:30
LOG_20251007_081006_634205,OLY-BEG-A-D-01,MOV_PSN_OHS_COMPLEX,6,,,,6,0,30.0,6,,2025-10-07T08:10:06
LOG_20251007_081006_205104,OLY-BEG-A-D-01,MOV_SN_HPULL,5,5,,,5,5,50.0,6,,2025-10-07T08:10:06
LOG_20251007_081006_970544,OLY-BEG-A-D-01,MOV_FS,5,4,,,5,4,50.0,6,,2025-10-07T08:10:06
LOG_20251007_081006_117312,OLY-BEG-A-D-01,MOV_SN_PRESS,5,6,,,5,6,30.0,6,,2025-10-07T08:10:06
LOG_20251007_081044_243875,OLY-BEG-A-A-02,MOV_HSNATCH,6,3,,,6,3,32.5,6,,2025-10-07T08:10:44
LOG_20251007_081044_303950,OLY-BEG-A-A-02,MOV_SN_DL_SEG,5,3,,,5,3,52.5,6,,2025-10-07T08:10:44
LOG_20251007_081044_303622,OLY-BEG-A-A-02,MOV_OHS,5,3,,,5,3,27.5,6,,2025-10-07T08:10:44
LOG_20251007_081044_170359,OLY-BEG-A-A-02,MOV_BS,4,8,,,4,8,40.0,6,,2025-10-07T08:10:44
LOG_20251007_134050_317957,OLY-BEG-A-B-02,MOV_PC_FS_COMPLEX,6,,,,6,3,42.5,6,,2025-10-07T13:40:50
LOG_20251007_134050_306976,OLY-BEG-A-B-02,MOV_CL_HPULL,5,5,,,5,5,52.5,8,,2025-10-07T13:40:50
LOG_20251007_134050_226219,OLY-BEG-A-B-02,MOV_PJERK,6,3,,,6,3,42.5,6,,2025-10-07T13:40:50
LOG_20251007_134050_154398,OLY-BEG-A-B-02,MOV_SHPRESS,5,6,,,5,6,42.5,8,,2025-10-07T13:40:50
LOG_20251008_094836_332666,10W_SQUAT-F-01,MOV_OHS,3,2,25.0,65.0,3,2,25.0,6,,2025-10-08T09:48:36
LOG_20251008_094854_119857,10W_SQUAT-A-02,MOV_OHS,6,6,27.5,70.0,6,6,27.5,6,,2025-10-08T09:48:54
LOG_20251008_094909_123327,10W_SQUAT-B-02,MOV_FS,3,2,50.0,60.0,3,2,50.0,6,,2025-10-08T09:49:09
LOG_20251008_170206_195579,10W_SQUAT-D-02,MOV_FS,6,5,60.0,70.0,6,5,60.0,6,weight belt for testing,2025-10-08T17:02:06
LOG_20251009_153639_182138,10W_SQUAT-C-02,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-09T15:36:39
LOG_20251009_153713_254462,OLY-BEG-A-C-02,MOV_HCLEAN_JERK_COMPLEX,6,3,,,6,3,42.5,6,,2025-10-09T15:37:13
LOG_20251009_153713_250372,OLY-BEG-A-C-02,MOV_BS,5,5,,,5,5,60.0,6,went for depth,2025-10-09T15:37:13
LOG_20251010_141008_212045,OLY-BEG-A-D-02,MOV_PSN_OHS_COMPLEX,6,1,,,6,1,32.5,6,,2025-10-10T14:10:08
LOG_20251010_141008_261382,OLY-BEG-A-D-02,MOV_SN_HPULL,5,5,,,5,5,52.5,6,,2025-10-10T14:10:08
LOG_20251010_141008_263185,OLY-BEG-A-D-02,MOV_FS,5,4,,,5,4,0.0,6,,2025-10-10T14:10:08
LOG_20251010_141008_166874,OLY-BEG-A-D-02,MOV_SN_PRESS,5,6,,,5,6,32.5,6,,2025-10-10T14:10:08
LOG_20251010_141039_204960,10W_SQUAT-E-02,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-10T14:10:39
LOG_20251013_104234_208868,10W_SQUAT-F-02,MOV_OHS,3,2,27.5,70.0,3,2,27.5,6,,2025-10-13T10:42:34
LOG_20251013_124349_122380,10W_SQUAT-A-03,MOV_OHS,8,6,27.5,70.0,8,6,27.5,6,,2025-10-13T12:43:49
LOG_20251013_124417_279061,OLY-BEG-A-A-03,MOV_HSNATCH,6,3,,,6,3,35.0,6,,2025-10-13T12:44:17
LOG_20251013_124417_104244,OLY-BEG-A-A-03,MOV_SN_DL_SEG,5,3,,,5,3,55.0,6,,2025-10-13T12:44:17
LOG_20251013_124417_116975,OLY-BEG-A-A-03,MOV_OHS,5,3,,,5,3,27.5,6,,2025-10-13T12:44:17
LOG_20251013_124417_140475,OLY-BEG-A-A-03,MOV_BS,4,8,,,4,8,60.0,6,,2025-10-13T12:44:17
LOG_20251015_075925_117596,10W_SQUAT-B-03,MOV_FS,3,2,50.0,60.0,3,2,50.0,6,,2025-10-15T07:59:25
LOG_20251015_080007_597845,OLY-BEG-A-B-03,MOV_PC_FS_COMPLEX,6,1,,,6,1,45.0,6,,2025-10-15T08:00:07
LOG_20251015_080007_227219,OLY-BEG-A-B-03,MOV_CL_HPULL,5,5,,,5,5,55.0,6,,2025-10-15T08:00:07
LOG_20251015_080007_677507,OLY-BEG-A-B-03,MOV_PJERK,6,3,,,6,3,45.0,6,,2025-10-15T08:00:07
LOG_20251015_080007_175871,OLY-BEG-A-B-03,MOV_SHPRESS,5,6,,,5,6,45.0,6,,2025-10-15T08:00:07
LOG_20251015_163553_293153,10W_SQUAT-C-03,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-15T16:35:53
LOG_20251016_130750_387778,10W_SQUAT-D-03,MOV_FS,8,5,60.0,70.0,8,5,60.0,6,"The last two sets were tough, used belt for all sets.",2025-10-16T13:07:50
LOG_20251016_130849_264359,OLY-BEG-A-C-03,MOV_HCLEAN_JERK_COMPLEX,6,3,,,6,3,45.0,6,,2025-10-16T13:08:49
LOG_20251016_130849_172180,OLY-BEG-A-C-03,MOV_CL_DL_SEG,5,5,,,5,5,75.0,6,,2025-10-16T13:08:49
LOG_20251016_130849_206939,OLY-BEG-A-C-03,MOV_BS,5,5,,,0,0,0.0,6,Did the squat program FS instead 5x8@60kg,2025-10-16T13:08:49
LOG_20251017_133926_263894,10W_SQUAT-E-03,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-17T13:39:26
LOG_20251017_134041_323076,OLY-BEG-A-D-03,MOV_PSN_OHS_COMPLEX,6,1,,,6,1,35.0,6,,2025-10-17T13:40:41
LOG_20251017_134041_777588,OLY-BEG-A-D-03,MOV_SN_HPULL,5,5,,,5,5,55.0,6,,2025-10-17T13:40:41
LOG_20251017_134041_505275,OLY-BEG-A-D-03,MOV_FS,5,4,,,5,4,60.0,6,focus on depth and keeping elbows up,2025-10-17T13:40:41
LOG_20251017_134041_198084,OLY-BEG-A-D-03,MOV_SN_PRESS,5,6,,,5,6,30.0,6,30kg seems to be better fro ROM and engaging shoulders,2025-10-17T13:40:41
LOG_20251018_135810_971906,10W_SQUAT-F-03,MOV_OHS,3,2,27.5,70.0,3,2,27.5,6,"No shoes, used the foot riser",2025-10-18T13:58:10
LOG_20251020_124110_142321,10W_SQUAT-A-04,MOV_OHS,10,6,27.5,70.0,10,6,27.5,6,,2025-10-20T12:41:10
LOG_20251020_124207_243210,OLY-BEG-A-A-04,MOV_HSNATCH,6,3,,,6,3,37.5,6,,2025-10-20T12:42:07
LOG_20251020_124207_324088,OLY-BEG-A-A-04,MOV_SN_DL_SEG,5,3,,,5,3,57.5,6,,2025-10-20T12:42:07
LOG_20251020_124207_875998,OLY-BEG-A-A-04,MOV_OHS,5,3,,,0,0,0.0,6,did the 10 x 6 sqyat program @27.5,2025-10-20T12:42:07
LOG_20251020_124207_314051,OLY-BEG-A-A-04,MOV_BS,4,8,,,0,0,0.0,6,ran out of time ,2025-10-20T12:42:07
LOG_20251021_133340_152797,OLY-BEG-A-B-04,MOV_PC_FS_COMPLEX,6,1,,,6,1,47.5,6,,2025-10-21T13:33:40
LOG_20251021_133340_139702,OLY-BEG-A-B-04,MOV_CL_HPULL,5,5,,,5,5,57.5,6,,2025-10-21T13:33:40
LOG_20251021_133340_119858,OLY-BEG-A-B-04,MOV_PJERK,6,3,,,6,3,47.5,6,,2025-10-21T13:33:40
LOG_20251021_133340_136671,OLY-BEG-A-B-04,MOV_SHPRESS,5,6,,,5,6,47.5,6,push press reps 4-6 most sets,2025-10-21T13:33:40
LOG_20251021_133421_455405,10W_SQUAT-B-04,MOV_FS,3,2,50.0,60.0,0,0,0.0,6,oly lift session had the equivilant squats so didnt add these,2025-10-21T13:34:21
LOG_20251022_143130_153441,10W_SQUAT-D-04,MOV_FRONT_SQUAT,10,5,60.0,70.0,10,5,60.0,6,Some sets pause squats some normal tempo,2025-10-22T14:31:30
LOG_20251023_131938_335237,OLY-BEG-A-C-04,MOV_HCLEAN_JERK_COMPLEX,6,3,0.0,,6,3,57.5,6,"went 10kg heavier by accident, was ok",2025-10-23T13:19:38
LOG_20251023_131938_208257,OLY-BEG-A-C-04,MOV_BACK_SQUAT,5,5,0.0,,0,0,0.0,6,skipped dut ot knee being a bit sire and tie restrictions,2025-10-23T13:19:38
LOG_20251023_131938_176229,OLY-BEG-A-C-04,MOV_CLEAN_DL_SEG,5,5,87.5,1.25,5,5,80.0,6,,2025-10-23T13:19:38
LOG_20251027_104152_534154,OLY-BEG-A-D-04,MOV_PSN_OHS_COMPLEX,6,1,0.0,,6,1,37.5,6,,2025-10-27T10:41:52
LOG_20251027_104152_478871,OLY-BEG-A-D-04,MOV_SNATCH_HPULL,5,5,52.5,0.95,5,5,57.5,6,,2025-10-27T10:41:52
LOG_20251027_104152_272543,OLY-BEG-A-D-04,MOV_FRONT_SQUAT,5,4,0.0,,5,4,60.0,6,,2025-10-27T10:41:52
LOG_20251027_104152_638108,OLY-BEG-A-D-04,MOV_SN_PRESS,5,6,0.0,,5,6,30.0,6,,2025-10-27T10:41:52
LOG_20251027_104230_363134,10W_SQUAT-C-04,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-27T10:42:30
LOG_20251027_104246_290208,10W_SQUAT-E-04,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-10-27T10:42:46
LOG_20251027_104258_300893,10W_SQUAT-F-04,MOV_OHS,3,2,27.5,70.0,3,2,27.5,6,,2025-10-27T10:42:58
LOG_20251029_123940_923802,10W_SQUAT-A-05,MOV_OHS,8,6,30.0,75.0,8,6,30.0,6,,2025-10-29T12:39:40
LOG_20251029_135856_313697,10W_SQUAT-B-05,MOV_FRONT_SQUAT,3,2,50.0,60.0,3,2,50.0,6,,2025-10-29T13:58:56
LOG_20251029_135905_333678,10W_SQUAT-C-05,MOV_OHS,3,2,25.0,60.0,3,2,30.0,6,,2025-10-29T13:59:05
LOG_20251029_140011_133636,OLY-BEG-B-A-01,MOV_SNATCH,6,2,35.0,65.0,6,2,35.0,6,,2025-10-29T14:00:11
LOG_20251029_140011_176512,OLY-BEG-B-A-01,MOV_SNATCH_DL_SEG,5,4,70.0,1.25,5,4,70.0,6,,2025-10-29T14:00:11
LOG_20251029_140011_113974,OLY-BEG-B-A-01,MOV_OHS,5,3,32.5,80.0,0,0,0.0,6,Did the squats from 10 week program,2025-10-29T14:00:11
LOG_20251029_140011_125057,OLY-BEG-B-A-01,MOV_BACK_SQUAT,4,6,87.5,80.0,0,0,0.0,6,Did FS from 10 week program,2025-10-29T14:00:11
LOG_20251029_140011_162869,OLY-BEG-B-A-01,MOV_RINGROW,3,8,0.0,,3,8,0.0,6,,2025-10-29T14:00:11
LOG_20251029_140011_177438,OLY-BEG-B-A-01,MOV_RING_SUPPORT_HOLD,3,15,0.0,,3,15,0.0,6,,2025-10-29T14:00:11
LOG_20251029_140011_252950,OLY-BEG-B-A-01,MOV_ABWHEEL,3,10,0.0,,3,8,0.0,6,,2025-10-29T14:00:11
LOG_20251030_140355_247549,OLY-BEG-B-B-01,MOV_PC_FS_COMPLEX,6,2,0.0,,6,2,45.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_314931,OLY-BEG-B-B-01,MOV_CLEAN_HPULL,5,3,62.5,0.9,5,3,60.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_354391,OLY-BEG-B-B-01,MOV_PJERK,6,3,0.0,,6,3,50.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_152967,OLY-BEG-B-B-01,MOV_SHPRESS,5,4,0.0,,5,4,40.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_104165,OLY-BEG-B-B-01,MOV_WPU,3,5,0.0,,3,5,5.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_121380,OLY-BEG-B-B-01,MOV_PULL_ISO,3,10,0.0,,3,10,0.0,6,,2025-10-30T14:03:55
LOG_20251030_140355_145543,OLY-BEG-B-B-01,MOV_ABWHEEL,3,10,0.0,,0,0,0.0,6,ran out of time had to get back to work,2025-10-30T14:03:55
LOG_20251119_132837_339772,10W_SQUAT-D-05,MOV_FRONT_SQUAT,8,4,65.0,75.0,8,4,65.0,6,legs blew up quickly after having a few weeks off,2025-11-19T13:28:37
LOG_20251120_155648_165422,OLY-BEG-B-C-01,MOV_CJ,6,2,45.0,65.0,6,2,45.0,6,,2025-11-20T15:56:48
LOG_20251120_155648_287087,OLY-BEG-B-C-01,MOV_CLEAN_PULL,5,4,80.0,1.0,5,4,80.0,6,,2025-11-20T15:56:48
LOG_20251120_155648_215360,OLY-BEG-B-C-01,MOV_BACK_SQUAT,5,3,87.5,80.0,5,3,87.5,6,,2025-11-20T15:56:48
LOG_20251120_155648_151788,OLY-BEG-B-C-01,MOV_RMU_TRANS_FA,3,3,0.0,,3,3,2.5,6,,2025-11-20T15:56:48
LOG_20251120_155648_293480,OLY-BEG-B-C-01,MOV_RING_DIP_BOTTOM_HOLD,3,15,0.0,,3,15,0.0,6,,2025-11-20T15:56:48
LOG_20251120_155648_484191,OLY-BEG-B-C-01,MOV_HOLLOW,3,,0.0,,3,0,35.0,6,,2025-11-20T15:56:48
LOG_20251120_155731_142392,10W_SQUAT-E-05,MOV_OHS,3,2,25.0,60.0,3,2,25.0,6,,2025-11-20T15:57:31
LOG_20251122_141111_289379,10W_SQUAT-F-05,MOV_OHS,3,2,27.5,70.0,0,0,0.0,6,completed these as part of the Everret day @35kg,2025-11-22T14:11:11
LOG_20251124_081113_994486,OLY-BEG-B-D-01,MOV_PSN_OHS_COMPLEX,6,2,0.0,,6,2,35.0,6,,2025-11-24T08:11:13
LOG_20251124_081113_146795,OLY-BEG-B-D-01,MOV_SNATCH_HPULL,5,3,52.5,0.95,5,3,52.5,6,,2025-11-24T08:11:13
LOG_20251124_081113_663215,OLY-BEG-B-D-01,MOV_FRONT_SQUAT,5,3,67.5,80.0,5,3,67.5,6,,2025-11-24T08:11:13
LOG_20251124_081113_280238,OLY-BEG-B-D-01,MOV_SN_PRESS,5,4,0.0,,5,4,15.0,6,,2025-11-24T08:11:13
LOG_20251124_081113_240321,OLY-BEG-B-D-01,MOV_LSIT,3,5,0.0,,3,5,10.0,6,,2025-11-24T08:11:13
LOG_20251124_081113_670138,OLY-BEG-B-D-01,MOV_SCAP_PULL,3,,0.0,,3,0,10.0,6,,2025-11-24T08:11:13
LOG_20251124_081113_197274,OLY-BEG-B-D-01,MOV_HOLLOWRK,3,15,0.0,,3,15,15.0,6,,2025-11-24T08:11:13
LOG_20251124_140443_182196,10W_SQUAT-A-06,MOV_OHS,6,5,40.0,80.0,6,5,32.5,6,just adjusted my 1RM on 24/11/2025 to 50kg,2025-11-24T14:04:43
LOG_20251124_140547_271463,OLY-BEG-B-A-02,MOV_SNATCH,6,2,37.5,70.0,6,2,37.5,6,,2025-11-24T14:05:47
LOG_20251124_140547_159403,OLY-BEG-B-A-02,MOV_SNATCH_PULL,5,4,55.0,1.0,5,4,55.0,6,,2025-11-24T14:05:47
LOG_20251124_140547_126981,OLY-BEG-B-A-02,MOV_OHS,5,3,40.0,80.0,5,3,0.0,6,I did this as part of the 10 week program,2025-11-24T14:05:47
LOG_20251124_140547_233936,OLY-BEG-B-A-02,MOV_BACK_SQUAT,4,6,80.0,72.0,4,6,80.0,6,,2025-11-24T14:05:47
LOG_20251124_140547_108570,OLY-BEG-B-A-02,MOV_RINGROW,3,8,0.0,,3,8,7.5,6,,2025-11-24T14:05:47
LOG_20251124_140547_110359,OLY-BEG-B-A-02,MOV_RING_SUPPORT_HOLD,3,15,0.0,,3,15,15.0,6,,2025-11-24T14:05:47
LOG_20251124_140547_243398,OLY-BEG-B-A-02,MOV_ABWHEEL,3,10,0.0,,3,10,10.0,6,,2025-11-24T14:05:47
LOG_20251125_163720_545946,10W_SQUAT-B-06,MOV_FRONT_SQUAT,3,2,50.0,60.0,3,2,0.0,6,did these as part of the everett workout,2025-11-25T16:37:20
LOG_20251125_163808_842023,OLY-BEG-B-B-02,MOV_PC_FS_COMPLEX,6,2,0.0,,6,2,50.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_253285,OLY-BEG-B-B-02,MOV_CLEAN_HPULL,5,3,72.5,0.9,5,3,70.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_894659,OLY-BEG-B-B-02,MOV_PJERK,6,3,0.0,,6,3,50.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_998764,OLY-BEG-B-B-02,MOV_SHPRESS,5,4,50.0,0.7,5,4,50.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_231790,OLY-BEG-B-B-02,MOV_WPU,3,5,0.0,,3,5,5.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_432527,OLY-BEG-B-B-02,MOV_PULL_ISO,3,10,0.0,,3,10,10.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_152211,OLY-BEG-B-B-02,MOV_ABWHEEL,3,10,0.0,,3,10,10.0,6,,2025-11-25T16:38:08
LOG_20251126_151955_281999,10W_SQUAT-D-06,MOV_FRONT_SQUAT,6,4,67.5,78.0,6,4,67.5,6,,2025-11-26T15:19:55
LOG_20251127_131302_179168,OLY-BEG-B-C-02,MOV_CJ,6,2,55.0,80.0,6,2,55.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_794649,OLY-BEG-B-C-02,MOV_CLEAN_PULL,5,4,80.0,1.0,5,4,80.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_751661,OLY-BEG-B-C-02,MOV_BACK_SQUAT,5,3,87.5,80.0,5,3,87.5,6,,2025-11-27T13:13:02
LOG_20251127_131302_210186,OLY-BEG-B-C-02,MOV_RMU_TRANS_FA,3,3,0.0,,3,3,2.5,6,,2025-11-27T13:13:02
LOG_20251127_131302_323181,OLY-BEG-B-C-02,MOV_RING_DIP_BOTTOM_HOLD,3,15,0.0,,3,15,15.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_293715,OLY-BEG-B-C-02,MOV_HOLLOW,3,,0.0,,3,0,30.0,6,,2025-11-27T13:13:02
LOG_20251127_131321_190457,10W_SQUAT-C-06,MOV_OHS,3,2,30.0,60.0,3,2,30.0,3,,2025-11-27T13:13:21
