File,LocalDate,Sport,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density
j.campton_121031816590.fit,2022-01-18,training,17,93.0,3780.0,60.0,45.0,1382.4,0.0,1.0
j.campton_121303983108.fit,2022-01-20,training,15,103.0,3250.0,50.0,50.0,1853.1,0.0,1.0
j.campton_121821170715.fit,2022-01-24,training,16,97.0,3640.0,70.0,52.5,1632.1000000000001,0.0,1.0
j.campton_121986115149.fit,2022-01-25,training,16,82.0,2970.0,55.0,55.0,1681.2,0.0,1.0
j.campton_122197235876.fit,2022-01-26,training,16,117.0,4765.0,80.0,57.5,1666.8,0.0,1.0
j.campton_122639573364.fit,2022-01-30,training,18,92.0,3600.0,60.0,60.0,1727.5,0.0,1.0
j.campton_122776439523.fit,2022-01-31,training,36,100.0,3410.0,85.0,47.94117647058823,1810.5,0.0,1.0
j.campton_122905410024.fit,2022-02-01,training,18,106.0,4200.0,60.0,60.0,1779.9,0.0,1.0
j.campton_123265734872.fit,2022-02-03,training,34,84.0,3540.0,85.0,50.625,1810.4,0.0,1.0
j.campton_123405102955.fit,2022-02-04,training,34,97.0,3200.0,60.0,38.75,1902.9,0.0,1.0
j.campton_123867517587.fit,2022-02-08,training,32,97.0,3280.0,60.0,34.666666666666664,1769.8,0.0,1.0
j.campton_124122838973.fit,2022-02-10,training,34,104.0,3820.0,70.0,44.705882352941174,2072.0,0.0,1.0
j.campton_124498584887.fit,2022-02-12,training,42,108.0,4270.0,95.0,50.0,2357.6,0.0,1.0
j.campton_131301551636.fit,2022-04-04,training,18,101.0,2560.0,60.0,44.44444444444444,1257.7,0.0,1.0
j.campton_131644520866.fit,2022-04-06,training,20,98.0,1320.0,20.0,20.0,1680.7,0.0,1.0
j.campton_137572962196.fit,2022-05-19,training,44,88.0,4775.0,95.0,65.71428571428571,2913.3,0.0,1.0
j.campton_138430342225.fit,2022-05-25,training,36,112.0,2925.0,50.0,35.3125,2183.3,0.0,1.0
j.campton_140088012528.fit,2022-06-02,training,38,227.0,864.0,20.0,8.363636363636363,1793.0,0.0,1.0
j.campton_140428680683.fit,2022-06-07,training,49,250.0,1224.0,20.0,5.739130434782608,3685.5,0.0,1.0
j.campton_140428686367.fit,2022-06-09,training,48,279.0,1392.0,25.0,6.565217391304348,1976.0,0.0,1.0
j.campton_141171351101.fit,2022-06-15,training,36,212.0,1016.0,25.0,5.470588235294118,1743.2,0.0,1.0
j.campton_141948507449.fit,2022-06-21,training,62,290.0,3080.0,65.0,20.346153846153847,3779.4,0.0,1.0
j.campton_142219956576.fit,2022-06-23,training,20,97.0,2230.0,65.0,51.111111111111114,1604.3,0.0,1.0
j.campton_143144090237.fit,2022-06-29,training,64,333.0,3689.0,65.0,20.4,3325.3,0.0,1.0
j.campton_143144095202.fit,2022-06-30,training,22,62.0,2480.0,65.0,49.0,1732.1,0.0,1.0
j.campton_143270172989.fit,2022-07-01,training,24,74.0,2280.0,65.0,39.166666666666664,1785.1,0.0,1.0
j.campton_144004925855.fit,2022-07-02,training,22,53.0,1960.0,70.0,55.0,1522.2,0.0,1.0
j.campton_144789246541.fit,2022-07-11,training,16,63.0,2755.0,65.0,49.285714285714285,1411.5,0.0,1.0
j.campton_144789253384.fit,2022-07-12,training,48,265.0,1748.0,25.0,7.956521739130435,2270.9,0.0,1.0
j.campton_144852226325.fit,2022-07-13,training,22,83.0,3785.0,65.0,50.0,1669.0,0.0,1.0
j.campton_145113060507.fit,2022-07-15,training,22,80.0,3220.0,70.0,60.0,1903.1,0.0,1.0
j.campton_145360548401.fit,2022-07-17,training,34,148.0,8650.0,75.0,53.4375,187.0,0.0,1.0
j.campton_145725676870.fit,2022-07-19,training,22,93.0,3585.0,70.0,49.5,1459.7,0.0,1.0
j.campton_145790603688.fit,2022-07-20,training,48,244.0,2090.0,35.0,9.717391304347826,2425.3,0.0,1.0
j.campton_146168592938.fit,2022-07-23,training,20,81.0,3560.0,70.0,54.44444444444444,1803.8999999999999,0.0,1.0
j.campton_146856331711.fit,2022-07-28,training,22,77.0,3370.0,75.0,63.0,1802.5,0.0,1.0
j.campton_201332981478.fit,2023-07-26,training,24,120.0,4050.0,50.0,33.75,1503.8,0.0,1.0
j.campton_282083930484.fit,2024-09-30,training,46,188.0,6340.0,50.0,33.04347826086956,3002.7,0.0,1.0
j.campton_282910437417.fit,2024-10-03,training,62,195.0,4425.0,50.0,21.048387096774192,3147.8,0.0,1.0
j.campton_283583109958.fit,2024-10-06,training,52,226.0,5880.0,45.0,28.26923076923077,3484.2,0.0,1.0
j.campton_283834738295.fit,2024-10-08,training,28,91.0,2965.0,55.0,32.5,1457.2,0.0,1.0
j.campton_284178521833.fit,2024-10-09,training,22,67.0,1290.0,40.0,21.363636363636363,1407.6,0.0,1.0
j.campton_284457105145.fit,2024-10-11,training,61,269.0,5615.0,60.0,30.183333333333334,3509.0,0.0,1.0
j.campton_285118825157.fit,2024-10-14,training,60,252.0,8290.0,65.0,36.166666666666664,3300.4,0.0,1.0
j.campton_285490398540.fit,2024-10-16,training,28,62.0,1682.5,57.5,23.75,1537.2,0.0,1.0
j.campton_285882673385.fit,2024-10-17,training,74,231.0,6575.0,60.0,35.87837837837838,3446.7,0.0,1.0
j.campton_286522179171.fit,2024-10-20,training,66,278.0,9520.0,67.5,38.333333333333336,3729.8,0.0,1.0
j.campton_287867492108.fit,2024-10-27,training,76,241.0,5885.0,60.0,30.723684210526315,3925.3,0.0,1.0
j.campton_288257685662.fit,2024-10-28,training,68,255.0,7850.0,72.5,38.60294117647059,3556.2,0.0,1.0
j.campton_289525753741.fit,2024-11-03,training,68,206.0,6115.0,67.5,38.6764705882353,3440.9,0.0,1.0
j.campton_290373118701.fit,2024-11-07,training,52,186.0,5300.0,60.0,38.84615384615385,2078.9,0.0,1.0
j.campton_292763593271.fit,2024-11-19,training,58,163.0,4759.0,128.0,45.275862068965516,3304.4,0.0,1.0
j.campton_293192261188.fit,2024-11-21,training,68,330.0,9504.0,70.0,32.88235294117647,3627.8,0.0,1.0
j.campton_294238386789.fit,2024-11-26,training,70,322.0,10720.0,70.0,34.285714285714285,3458.9,0.0,1.0
j.campton_296628763305.fit,2024-12-07,training,52,148.0,1100.0,30.0,12.115384615384615,1978.5,0.0,1.0
j.campton_297264689334.fit,2024-12-10,training,88,310.0,10632.5,85.0,40.39772727272727,4743.2,0.0,1.0
j.campton_298324915399.fit,2024-12-15,training,102,295.0,10645.0,85.0,34.80392156862745,5456.8,0.0,1.0
j.campton_298502491905.fit,2024-12-16,training,24,37.0,910.0,30.0,24.583333333333332,1115.7,0.0,1.0
j.campton_299156130939.fit,2024-12-20,training,48,95.0,3700.0,75.0,41.875,3190.1,0.0,1.0
j.campton_299728236344.fit,2024-12-22,training,32,64.0,3065.0,75.0,50.9375,2438.8,0.0,1.0
j.campton_300344010771.fit,2024-12-25,training,106,313.0,11430.0,115.0,37.83018867924528,6528.3,0.0,1.0
j.campton_300767851548.fit,2024-12-27,training,108,314.0,11175.0,115.0,37.592592592592595,6839.2,0.0,1.0
j.campton_300991505711.fit,2024-12-28,training,26,28.0,0.0,0.0,0.0,2259.2999999999997,0.0,1.0
j.campton_302729419422.fit,2025-01-05,training,84,286.0,9670.0,95.0,28.571428571428573,4911.4,0.0,1.0
j.campton_303941705151.fit,2025-01-11,training,106,374.0,13595.0,95.0,31.9811320754717,6398.6,0.0,1.0
j.campton_304809302111.fit,2025-01-14,training,96,263.0,9107.5,120.0,40.0,5373.9,0.0,1.0
j.campton_306869560481.fit,2025-01-23,training,90,237.0,9057.5,120.0,43.111111111111114,5067.7,0.0,1.0
j.campton_308042587498.fit,2025-01-28,training,52,172.0,5190.0,50.0,30.384615384615383,3580.4,0.0,1.0
j.campton_308512506885.fit,2025-01-30,training,51,122.0,3655.0,50.0,25.6,4193.3,0.0,1.0
j.campton_308731179242.fit,2025-01-31,training,14,56.0,2200.0,50.0,40.0,1143.6000000000001,0.0,1.0
j.campton_308959105765.fit,2025-02-01,training,49,170.0,5020.0,50.0,33.333333333333336,4481.5,0.0,1.0
j.campton_309197683478.fit,2025-02-02,training,52,80.0,0.0,0.0,0.0,3303.9,0.0,1.0
j.campton_309649854790.fit,2025-02-04,training,96,193.0,4910.0,50.0,18.333333333333332,6395.8,0.0,1.0
j.campton_309885570771.fit,2025-02-05,training,60,186.0,4180.0,50.0,26.166666666666668,4091.0,0.0,1.0
j.campton_310566955494.fit,2025-02-08,training,92,206.0,4560.0,50.0,19.347826086956523,6637.4,0.0,1.0
j.campton_310825390408.fit,2025-02-09,training,48,175.0,3700.0,40.0,27.083333333333332,3739.5,0.0,1.0
j.campton_311012862775.fit,2025-02-10,training,56,97.0,0.0,0.0,0.0,4027.1,0.0,1.0
j.campton_311571947661.fit,2025-02-13,training,54,157.0,3365.0,50.0,22.40740740740741,3463.9,0.0,1.0
j.campton_311910024057.fit,2025-02-13,training,72,112.0,1430.0,50.0,9.444444444444445,5411.7,0.0,1.0
j.campton_312252883465.fit,2025-02-15,training,15,30.0,270.0,30.0,12.857142857142858,940.8000000000001,0.0,1.0
j.campton_312387486911.fit,2025-02-16,training,16,49.0,1520.0,40.0,29.375,1297.2,0.0,1.0
j.campton_313391142083.fit,2025-02-21,training,62,197.0,5620.0,60.0,31.93548387096774,4098.9,0.0,1.0
j.campton_313629420671.fit,2025-02-22,training,12,30.0,490.0,35.0,25.833333333333332,694.0,0.0,1.0
j.campton_313832199684.fit,2025-02-23,training,58,150.0,5030.0,65.0,34.13793103448276,4155.9,0.0,1.0
j.campton_314019192451.fit,2025-02-23,training,76,122.0,530.0,35.0,4.2105263157894735,4105.6,0.0,1.0
j.campton_314268354689.fit,2025-02-24,training,54,163.0,5320.0,40.0,36.48148148148148,3870.9,0.0,1.0
j.campton_314491658557.fit,2025-02-25,training,50,103.0,2160.0,42.5,13.7,2983.8,0.0,1.0
j.campton_314755758228.fit,2025-02-26,training,52,135.0,4520.0,60.0,37.30769230769231,3952.7,0.0,1.0
j.campton_315403269044.fit,2025-03-01,training,64,82.0,940.0,50.0,10.390625,3955.2,0.0,1.0
j.campton_315641001328.fit,2025-03-02,training,54,137.0,5020.0,70.0,38.888888888888886,4057.0,0.0,1.0
j.campton_315869985995.fit,2025-03-03,training,72,117.0,805.0,37.5,5.277777777777778,4261.6,0.0,1.0
j.campton_316103015648.fit,2025-03-04,training,48,111.0,3215.0,70.0,34.166666666666664,3858.6,0.0,1.0
j.campton_316335813544.fit,2025-03-05,training,54,112.0,2406.0,42.0,14.944444444444445,3785.0,0.0,1.0
j.campton_317290294785.fit,2025-03-09,training,44,109.0,3960.0,60.0,41.36363636363637,2812.1,0.0,1.0
j.campton_317527223737.fit,2025-03-10,training,46,117.0,3415.0,45.0,29.23913043478261,3285.6,0.0,1.0
j.campton_317812056760.fit,2025-03-12,training,78,129.0,3600.0,70.0,17.435897435897434,5944.3,0.0,1.0
j.campton_318982793687.fit,2025-03-17,training,14,31.0,815.0,37.5,27.5,1159.6,0.0,1.0
j.campton_319268249582.fit,2025-03-18,training,54,133.0,3355.0,70.0,31.666666666666668,3607.1,0.0,1.0
j.campton_319499912598.fit,2025-03-19,training,28,87.0,2955.0,42.5,34.642857142857146,2289.0,0.0,1.0
j.campton_319683997409.fit,2025-03-20,training,30,47.0,1240.0,60.0,20.0,2911.7,0.0,1.0
j.campton_319907025882.fit,2025-03-20,training,58,148.0,3875.0,50.0,32.1551724137931,3586.4,0.0,1.0
j.campton_320152772578.fit,2025-03-22,training,28,75.0,4620.0,70.0,60.714285714285715,2150.3,0.0,1.0
j.campton_320625104210.fit,2025-03-24,training,44,91.0,815.0,37.5,8.75,2725.9,0.0,1.0
j.campton_320892702217.fit,2025-03-25,training,20,33.0,847.5,42.5,21.5,1183.4,0.0,1.0
j.campton_321337007375.fit,2025-03-26,training,58,177.0,6140.0,45.0,36.46551724137931,3538.2,0.0,1.0
j.campton_321665252538.fit,2025-03-27,training,14,42.0,1240.0,60.0,42.857142857142854,720.5,0.0,1.0
j.campton_321665314811.fit,2025-03-28,training,48,77.0,805.0,37.5,7.916666666666667,2539.0,0.0,1.0
j.campton_322066954267.fit,2025-03-29,training,56,141.0,6225.0,75.0,46.69642857142857,4108.6,0.0,1.0
j.campton_322341575737.fit,2025-03-31,training,46,87.0,815.0,37.5,8.369565217391305,2682.8,0.0,1.0
j.campton_322644703726.fit,2025-04-01,training,52,146.0,5095.0,50.0,37.88461538461539,3258.8,0.0,1.0
j.campton_322812617427.fit,2025-04-01,training,62,105.0,2680.0,60.0,15.483870967741936,3888.3,0.0,1.0
j.campton_323127949846.fit,2025-04-03,training,34,74.0,1160.0,60.0,17.058823529411764,1813.7,0.0,1.0
j.campton_323302925965.fit,2025-04-03,training,64,185.0,4715.0,45.0,28.515625,3979.8,0.0,1.0
j.campton_323821442810.fit,2025-04-06,training,75,184.0,6960.0,77.5,36.486486486486484,4301.3,0.0,1.0
j.campton_324132082937.fit,2025-04-06,training,50,66.0,725.0,50.0,12.9,2961.1,0.0,1.0
j.campton_324488565773.fit,2025-04-08,training,32,99.0,3120.0,52.5,35.46875,1652.9,0.0,1.0
j.campton_324774642145.fit,2025-04-10,training,54,74.0,1240.0,60.0,11.11111111111111,2792.1,0.0,1.0
j.campton_325023925963.fit,2025-04-11,training,42,87.0,3065.0,50.0,36.785714285714285,2586.1,0.0,1.0
j.campton_326236511552.fit,2025-04-16,training,25,60.0,2700.0,82.5,42.916666666666664,1807.5,0.0,1.0
j.campton_326504265329.fit,2025-04-17,training,48,99.0,805.0,37.5,7.916666666666667,3008.1,0.0,1.0
j.campton_326990266861.fit,2025-04-18,training,48,120.0,3595.0,50.0,32.708333333333336,3508.4,0.0,1.0
j.campton_327173759108.fit,2025-04-19,training,54,128.0,4575.0,55.0,36.851851851851855,3505.4,0.0,1.0
j.campton_327443946395.fit,2025-04-21,training,18,42.0,1240.0,60.0,33.333333333333336,1149.6,0.0,1.0
j.campton_327673898423.fit,2025-04-22,training,46,119.0,3435.0,65.0,34.67391304347826,3547.0,0.0,1.0
j.campton_328636310621.fit,2025-04-25,training,52,137.0,5105.0,85.0,37.98076923076923,3381.3,0.0,1.0
j.campton_328889007498.fit,2025-04-26,training,56,135.0,4555.0,50.0,32.767857142857146,3335.7,0.0,1.0
j.campton_329168463308.fit,2025-04-28,training,46,78.0,1100.0,45.0,10.652173913043478,2543.8,0.0,1.0
j.campton_329412367733.fit,2025-04-29,training,44,130.0,4360.0,60.0,38.18181818181818,3152.7,0.0,1.0
j.campton_330669948280.fit,2025-05-03,training,54,149.0,5055.0,60.0,37.592592592592595,4093.1,0.0,1.0
j.campton_331149651086.fit,2025-05-06,training,54,153.0,5785.0,52.5,42.03703703703704,2887.5,0.0,1.0
j.campton_336477158601.fit,2025-05-27,training,21,70.0,1460.0,60.0,32.5,3474.1000000000004,0.0,1.0
j.campton_337002868358.fit,2025-05-29,training,48,146.0,3660.0,40.0,28.958333333333332,3078.0,0.0,1.0
j.campton_338329936063.fit,2025-05-30,training,15,44.0,967.5,42.5,32.142857142857146,3026.8,0.0,1.0
j.campton_338329966476.fit,2025-06-01,training,38,90.0,2210.0,50.0,28.81578947368421,2714.6,0.0,1.0
j.campton_338329990596.fit,2025-06-03,training,20,38.0,1390.0,100.0,62.0,2127.2,0.0,1.0
j.campton_338880132698.fit,2025-06-05,training,40,94.0,2675.0,60.0,40.0,2489.4,0.0,1.0
j.campton_339242835577.fit,2025-06-06,training,13,32.0,1000.0,60.0,40.0,3345.9,0.0,1.0
j.campton_339832526041.fit,2025-06-09,training,20,44.0,1185.0,85.0,49.5,1706.8999999999999,0.0,1.0
j.campton_340356977487.fit,2025-06-11,training,34,83.0,2690.0,60.0,41.76470588235294,2160.7,0.0,1.0
j.campton_340878753307.fit,2025-06-13,training,1,7.0,0.0,,,3282.3,0.0,1.0
j.campton_341394886393.fit,2025-06-15,training,25,52.0,910.0,50.0,29.166666666666668,1593.5,0.0,1.0
j.campton_342450954417.fit,2025-06-19,training,1,4.0,0.0,,,1453.9,0.0,1.0
j.campton_348678139435.fit,2025-07-08,training,9,50.0,416.0,40.0,16.0,2048.4,0.0,1.0
j.campton_348678178441.fit,2025-07-10,training,34,104.0,4640.0,60.0,45.88235294117647,1875.4,0.0,1.0
j.campton_348938303982.fit,2025-07-13,training,42,158.0,3390.0,60.0,25.714285714285715,2200.2,0.0,1.0
j.campton_349469271407.fit,2025-07-15,training,56,192.0,7400.0,70.0,43.42857142857143,2571.8,0.0,1.0
j.campton_350788513421.fit,2025-07-17,training,14,59.0,2200.0,50.0,41.42857142857143,2084.6,0.0,1.0
j.campton_350788657375.fit,2025-07-20,training,34,150.0,1980.0,85.0,32.794117647058826,2608.5,0.0,1.0
j.campton_351852220983.fit,2025-07-22,training,30,168.0,5660.0,100.0,50.666666666666664,2437.8,0.0,1.0
j.campton_351852248599.fit,2025-07-24,training,25,67.0,1495.0,45.0,35.416666666666664,2186.6,0.0,1.0
j.campton_357296218975.fit,2025-08-14,training,22,69.0,2135.0,78.0,30.09090909090909,1925.1,0.0,1.0
j.campton_358975748638.fit,2025-08-20,training,36,56.0,2750.0,170.0,80.55555555555556,2460.9,0.0,1.0
j.campton_360356830140.fit,2025-08-25,training,16,23.0,1130.0,70.0,56.25,773.4,0.0,1.0
